folder,goal
2a8de385-c3f6-4714-b690-b6c85bff2539,set a daily reminder to write my diary
2e4f5539-90bf-4a1c-ae1d-7e05acedbaf7,set a daily reminder to write my diary
839cfd44-d069-44ec-ac9a-fa36ca5b3c0d,set a daily reminder to write my diary
eee533a3-e50a-4e5f-8c4f-a14b08fbc5ec,set a daily reminder to write my diary
5cc1676c-7aae-4e81-abb0-2ff1af3c7b0c,set a daily reminder to write my diary
5394cff8-3391-4ba8-9eb7-05e8948826c7,export diary entries
ca592a20-6a38-44d7-bf17-89e471d8cf3b,export diary entries
ef77fe60-ffe1-4206-9a69-8d3f019500bf,export diary entries
ff89cf4c-5085-412f-a244-171ba56a3db4,export diary entries
3c5d75cd-f61e-4ee5-94db-0dc529757b85,export diary entries
a2133fb5-524c-4e56-ac65-8fb32c7c9185,Open the colors and style settings and change the theme to light blue
2e2116bb-82fa-4d1b-8cf0-e42efb91bca1,Open the colors and style settings and change the theme to light blue
c8b523c3-4444-4a73-8f4f-b42b7b420220,Open the colors and style settings and change the theme to light blue
80786b20-e272-45f9-a7ce-8563fc0552b0,Open the colors and style settings and change the theme to light blue
406ad903-9f9c-4c72-b92f-567379c3854b,Create a new entry
a5a18c6c-3f80-44e2-94b8-55019647529d,Create a new entry
f357a83b-338c-4bbb-9f9a-f5d4f8b233c3,Create a new entry
faa395eb-e20d-48c6-9b73-8c428558c54a,Create a new entry
b5f84b9d-ea14-443d-b2f0-10f97352f25c,Create a new entry
915908f7-54b4-456f-930f-91915d6be58f,"Write a new entry for today titled Social Distancing Day 10 and write ""Today I attended virtual meetings and played trivia with my friends"" and then save it"
55651197-800a-42ba-9ac2-0a4f13e2adf4,"Write a new entry for today titled Social Distancing Day 10 and write ""Today I attended virtual meetings and played trivia with my friends"" and then save it"
a58285d5-e5df-4a22-a485-39e8baaa5792,"Write a new entry for today titled Social Distancing Day 10 and write ""Today I attended virtual meetings and played trivia with my friends"" and then save it"
c290bf74-83c1-4c0a-b37f-b063b4005f94,"Write a new entry for today titled Social Distancing Day 10 and write ""Today I attended virtual meetings and played trivia with my friends"" and then save it"
20ded2b8-ec83-4caf-8dbc-e47d917cacdd,"tap ""add new event"" and enter ""birthday"" for event title"
5e964a1a-6697-4ee4-aab3-471c624d6ef9,"tap ""add new event"" and enter ""birthday"" for event title"
95602fdc-9775-4cca-acf3-310372eb4746,"tap ""add new event"" and enter ""birthday"" for event title"
a59565fb-4aa4-416c-b1e1-1ac9ff103482,"Create a new Group with the name ""Goals"""
6c9aa99c-a46b-48f0-85d9-342fb77ad230,"Create a new Group with the name ""Goals"""
b4aa1711-e364-407a-bbca-406d71355e79,"Create a new Group with the name ""Goals"""
aabbf6ae-b87c-492e-85d3-d6933f55d2dd,"Create a new Group with the name ""Goals"""
d5971f1d-3a8c-4c8c-9213-c87223470386,"change icon settings to ""hidden"""
2da365aa-6f94-4fe7-9452-c6833f3c56e1,"change icon settings to ""hidden"""
b0fdde90-6792-49e5-9771-20ed67c560eb,"change icon settings to ""hidden"""
c1d65538-aa12-464c-bd3e-1eaa1bc53b1c,turn off hide past events
26ca8445-acd8-4639-9178-1ec43ddea119,turn off hide past events
f8216602-df5f-4da0-ab79-ce2366dfe5b7,turn off hide past events
43aac994-8dd0-4046-9345-fa810563f520,go to background settings and click on sticker
43e9b92b-c676-499a-83d2-597764dfb79e,go to background settings and click on sticker
741fed7c-1fbf-4939-82ca-af19409f4f9a,go to background settings and click on sticker
a417182d-33ee-4260-9839-8c326b507ae0,go to background settings and click on sticker
b89b94f1-f346-496f-80b6-fa711d0465b5,view technology headlines
af84958b-5b2a-4afc-b863-e8d92c95c924,view technology headlines
b0400fa5-0b3d-473b-a425-c463e0992492,view technology headlines
77dc86f6-595f-4a20-ac88-b76c891e5ce4,Open politics tab
70ad21e0-633f-405a-86db-7d5fd77bb708,Open politics tab
4a8bc7d4-611d-416b-ac99-17bf68cb6172,go to my profile
c9b75cd5-663f-4175-af64-30972ef6099c,Go to the popular tab and click on the second most read article
3f75904d-9f8e-4ff6-bb01-d814d292e4e5,Go to the popular tab and click on the second most read article
88f32e8e-5bf2-41c1-8394-f40c3dda3764,Go to the popular tab and click on the second most read article
9ace768c-0569-41fc-a5a5-26d99f53565a,Open Settings and open Manage notifications
3d5db490-7940-42c7-ba58-aa6035f32db0,Open Settings and open Manage notifications
4a4bf1ac-7507-4333-9fdd-b3e79c667b21,Open Settings and open Manage notifications
cfd13867-4b43-4054-b7f3-1353b8024673,Open Settings and open Manage notifications
3475ed40-a566-4764-b2f0-0ab99542a971,Open Settings and open Manage notifications
5059b376-6fbc-4947-b543-30a3301ac3fb,Open Settings and open Manage notifications
14c17306-44be-46b8-9e86-68c12d0d1227,Open Settings and open Manage notifications
a42373b7-6b86-4a40-bbe6-e58638a9d109,Open Settings and open Manage notifications
ca01dcc8-d6c3-4926-8149-9f62d2cc7af0,Open Settings and open Manage notifications
afc45206-5acb-440d-86e5-9248cc703488,Open Settings and open Manage notifications
ecc2fee1-296b-48c4-ba89-f71631c4b0d5,Open New Spreadsheet and click share
151e29b8-d8d8-430c-892f-75406d06b8e7,Open New Spreadsheet and click share
1f789820-5e47-493b-a694-18deadc4953b,click save
061670cb-5ea9-4d15-97a4-94ec77125adb,click save
6fe7388c-a947-4c95-bcb8-61bb1578263d,turn on the option to create excel files and google sheet files
c2872af0-2142-4f90-a63f-503087344b25,turn on the option to create excel files and google sheet files
3c3c3568-db8a-4d72-93ff-8d32a3f32dcf,go to notification
d2b3c9d8-0791-4cf2-a093-062c21fb6238,go to notification
92afe930-26f9-4b7e-b667-66208c3e0a1f,tap on us flag on top left and change country to australia
6974b22f-985e-419e-881d-d2af25ded671,"tap on ""support"" under service"
67a77eac-a246-4261-b7ed-676dfbbad526,look for items under watches
e7cd0e72-8b5f-4352-94cb-715f4ab5e4c3,view homegoods
2d56f119-e9b4-4e16-a589-27164b21af05,change gender to female
4fe8c6bf-88c7-48b2-835f-4fd2734cf4b0,change gender to female
0599bff1-1cea-493e-952b-47399aaa2eb6,go to price alerts under settings
ae2f78a8-b601-4443-9fb8-2a1344f4f450,Go to settings and turn off the use of current location
1f3b3044-3152-411c-ba97-d3e13ba6dfd4,Go to settings and turn off the use of current location
bc936b5e-6e3f-4b6b-97e4-74d4f691a33e,Show me the temperature forecast over New Orleans Louisiana
1074d00c-eb86-405f-88f3-cccae89a8010,Show me the temperature forecast over New Orleans Louisiana
